livingSpaceRange,livingSpace,noRoomsRange,noRooms,yearConstructedRange,yearConstructed,regio1_numeric,big_city,totalRent
1,38.15,2,2.0,2.0,1965.0,4,1,410.0
1,33.02,1,1.0,1.0,1910.0,8,1,280.0
5,118.0,4,4.0,9.0,2016.0,13,1,1150.0
4,100.19,3,3.5,3.0,1975.0,8,0,751.14
1,36.0,1,1.0,4.0,1983.0,8,1,470.0
3,61.23,3,3.0,4.0,1981.0,1,0,420.0
3,71.79,2,2.0,2.0,1952.0,8,1,633.86
2,55.92,3,3.0,3.0,1972.0,1,0,355.0
3,65.0,2,2.0,1.0,1900.0,4,1,590.0
5,110.0,4,4.0,3.0,1973.0,14,0,1600.0
3,75.0,3,3.0,2.0,1967.0,13,0,610.0
1,40.47,1,1.0,4.0,1986.0,14,1,645.0
3,68.0,2,2.0,6.0,2003.0,8,1,825.0
1,30.0,1,1.0,2.0,1960.0,8,1,410.0
4,91.0,4,4.0,1.0,1900.0,4,1,899.0
1,38.0,1,1.0,1.0,1900.0,4,1,350.0
